start_time_s,end_time_s,pitch_midi,velocity,pitch_bend
175.4352507936508,176.1550693877551,26,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175.42364081632653,176.1550693877551,39,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175.41203083900228,176.1550693877551,24,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175.40042086167801,176.1550693877551,35,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175.35398095238097,176.1550693877551,37,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175.33076099773243,176.1550693877551,30,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175.26110113378687,175.41203083900228,24,68,0,0,0,0,0,0,0,0,0,0,0,0,0
175.23788117913833,176.1550693877551,22,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175.21466122448982,176.1550693877551,33,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175.20305124716555,175.4352507936508,27,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175.16822131519274,175.33076099773243,30,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175.1566113378685,175.35398095238097,37,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175.14500136054423,176.1550693877551,41,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175.1217814058957,175.26110113378687,25,68,0,0,0,0,0,0,0,0,0,0,0,0
175.05212154195013,175.21466122448982,34,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175.0289015873016,175.23788117913833,22,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174.98246167800454,175.20305124716555,27,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174.98246167800454,175.1217814058957,24,68,0,0,0,0,0,0,0,0,0,0,0,0
174.97085170068027,175.16822131519274,31,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174.92441179138322,175.1566113378685,37,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174.9011918367347,175.05212154195013,33,68,0,0,0,0,0,0,0,0,0,0,0,0,0
174.87797188208617,175.05212154195013,35,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
